2,54,3.7000,1
3,54,3.9400,1
3,54,4.2700,1
5,8,-5.9800,1
5,54,1.5900,1
5,84,4.6300,3
5,21,-4.4700,3
6,8,-5.4100,1
6,54,5.8100,1
6,83,5.0000,3
6,16,4.0700,3
6,50,4.5900,3
6,44,5.1600,3
6,85,5.8500,3
6,36,4.1100,3
6,18,4.1500,3
6,135,5.9300,2
6,34,5.6900,3
6,69,-5.0800,3
6,51,-4.4300,3
6,84,-5.2800,3
6,35,-4.1500,3
6,105,5.2800,3
6,86,5.1200,3
6,136,4.1900,2
6,110,4.5900,3
6,14,3.9800,3
6,9,-4.5900,3
6,129,5.6100,2
6,47,3.7800,3
6,130,-4.5100,2
6,103,4.6700,3
6,61,-5.7700,3
6,77,4.7600,3
6,104,-5.3700,3
6,21,0.0000,3
6,24,0.0000,3
6,67,0.0000,3
6,132,0.0000,2
6,122,0.0000,3
6,131,0.0000,2
6,22,0.0000,3
6,55,0.0000,2
6,71,4.4700,3
6,123,0.0000,3
6,96,0.0000,3
6,72,0.0000,3
6,76,0.0000,3
6,115,0.0000,3
6,134,0.0000,2
6,97,0.0000,3
6,74,0.0000,3
6,64,0.0000,3
6,28,0.0000,3
7,8,-7.7200,1
7,54,4.4300,1
7,84,0.0000,3
7,83,0.0000,3
7,107,0.0000,3
7,21,0.0000,3
7,36,0.0000,3
7,37,0.0000,3
7,18,0.0000,3
7,35,0.0000,3
7,132,0.0000,2
7,136,0.0000,2
7,22,0.0000,3
8,8,4.3900,1
8,54,6.3800,1
8,69,3.3900,3
8,18,4.4300,3
8,36,9.4100,3
8,50,9.2100,3
8,44,9.6700,3
8,83,6.1800,3
8,34,5.0800,3
8,107,3.9600,3
8,135,0.0000,2
8,85,8.1100,3
8,104,3.9000,3
8,93,4.4900,3
8,51,-4.1700,3
8,52,1.7100,2
8,109,-3.0900,2
8,84,-3.4800,3
8,41,-4.1900,2
8,105,5.5500,3
8,133,-2.3200,2
8,86,4.9400,3
8,131,3.4100,2
8,87,3.9800,3
8,130,0.0000,2
8,45,3.9000,3
8,11,1.6700,2
8,35,2.4800,3
8,116,0.0000,3
8,136,2.9300,2
8,110,0.0000,3
8,128,3.1900,3
8,22,4.1900,3
9,8,0.0000,1
9,54,0.0000,1
9,84,-1.3200,3
9,105,-1.4000,3
9,21,0.0000,3
9,93,-5.6700,3
9,35,-6.5200,3
9,86,-7.9100,3
9,110,1.6900,3
9,134,-7.2600,2
9,67,-4.5700,3
9,2,7.5400,2
9,127,-1.9700,3
9,135,-9.1300,2
9,136,-8.1900,2
9,129,0.0000,2
9,132,3.1900,2
9,133,-9.3300,2
9,38,0.0000,3
9,66,-2.4600,3
